time latitude longitude depth mag magType
2023-03-22T11:39:22.212Z 61.0981 -150.0804 39.5 2.5 ml
2023-03-22T10:38:47.719Z 37.167 54.7079 10 5.1 mb
2023-03-22T09:59:13.479Z 58.124 -137.5279 17.7 3.9 ml
2023-03-22T08:23:46.525Z 40.2813 142.9317 35.548 4.3 mb
2023-03-22T07:42:58.666Z 40.3731 142.9504 38.265 4.4 mb
2023-03-22T07:37:01.134Z 40.3031 143.0358 35.412 5.6 mww
2023-03-22T07:21:22.130Z 17.9898333333333 -66.8266666666667 14.53 2.6 md
2023-03-22T06:51:30.629Z 54.6451 -156.7276 1.4 3.3 ml
2023-03-22T04:28:14.733Z 6.7221 126.0963 68.279 4.8 mb
2023-03-22T03:42:20.100Z 17.9253333333333 -66.0108333333333 12.27 2.58 md
2023-03-22T03:40:24.571Z 62.1293 -150.3652 53.6 3.5 ml
2023-03-22T03:24:51.974Z 51.8375 -178.1058 6.303 2.5 ml
2023-03-22T03:21:34.900Z 33.4653333 -116.5698333 9.26 2.56 ml
2023-03-22T03:19:15.233Z 33.2964 137.7095 341.52 4.2 mb
2023-03-22T02:25:30.825Z -59.5861 -26.3031 10 5.3 mb
2023-03-22T02:22:40.774Z 62.0102 -146.8327 38.7 3.4 ml
2023-03-22T02:15:28.348Z -3.5341 131.2272 10 4.5 mb
2023-03-22T01:46:41.456Z 29.2963 130.4503 35 4.6 mb
2023-03-22T01:18:26.437Z 43.5505 -128.2173 10 3.3 ml
2023-03-22T01:08:21.640Z 18.0645 -67.5191666666667 41.1 3.14 md
2023-03-22T00:24:48.796Z 53.7841 -162.8316 25.5 3.1 ml
2023-03-21T23:18:19.630Z 40.5415 -124.3725 18.1 4.54 mw
2023-03-21T22:09:20.120Z 19.0831666666667 -66.3543333333333 22.51 3.13 md
2023-03-21T21:27:28.839Z 29.629 104.7238 10 4.2 mb
2023-03-21T20:49:21.328Z 28.46 -43.7159 10 5 mb
2023-03-21T20:46:54.052Z 28.437 -43.6415 10 5 mb
2023-03-21T20:41:08.161Z 28.583 -43.608 10 5.5 mww
2023-03-21T20:37:55.494Z -6.4965 130.1801 138.494 4.4 mb
2023-03-21T19:32:45.297Z -2.4976 140.7035 32.758 4.5 mb
2023-03-21T19:13:41.571Z 51.8666 -178.0991 5.908 2.6 ml
2023-03-21T18:53:49.188Z 51.506 -176.0477 23.2 2.5 ml
2023-03-21T18:18:31.600Z 38.8036652 -122.7701645 1.57 2.77 md
2023-03-21T17:38:13.089Z -33.6103 -71.3517 65.05 5.6 mww
2023-03-21T17:23:33.205Z 63.2146 158.4902 10 4.9 mb
2023-03-21T16:47:23.605Z 36.5186 70.9457 192 6.5 mww
2023-03-21T16:31:48.637Z -30.2278 -176.0515 10 4.7 mb
2023-03-21T16:20:12.152Z -25.4217 -177.1198 141.166 4.3 mb
2023-03-21T16:15:24.856Z 51.8582 -178.0762 2.966 2.8 ml
2023-03-21T15:57:13.177Z 53.1438 172.4431 10 4.2 mb
2023-03-21T14:55:19.829Z 31.56451135 -104.1355578 5.874487305 3.2 ml
2023-03-21T14:40:30.688Z 2.3682 128.8217 10 4.9 mb
2023-03-21T11:30:37.280Z -19.9384 170.0286 9.991 4.7 mb
2023-03-21T11:14:59.317Z 51.2624 -178.3495 10 2.6 ml
2023-03-21T09:41:38.339Z 51.8699 -178.0727 2.84 2.6 ml
2023-03-21T09:30:21.718Z 50.6716 -174.9331 10 3.4 ml
2023-03-21T09:13:31.525Z 56.9034 -158.1248 0.4 2.8 ml
2023-03-21T09:00:48.047Z -7.6531 127.5578 164.825 4.4 mb
2023-03-21T08:00:01.242Z -3.6636 149.5159 10 4.5 mb
2023-03-21T07:25:40.202Z 36.4252 70.9319 140.595 4.2 mb
2023-03-21T06:56:56.487Z 69.1135 -53.3712 10 4.3 mb
2023-03-21T05:21:14.659Z 7.4874 126.1938 10.105 4.4 mb
2023-03-21T05:02:22.445Z 53.1491 159.9086 58.904 4.2 mb
2023-03-21T05:00:59.852Z -3.7957 151.3145 10 4.5 mb
2023-03-21T04:58:04.911Z 47.7164 153.4165 67.493 4.6 mb
2023-03-21T04:47:40.154Z 65.1674 -148.9193 16.6 2.5 ml
2023-03-21T04:16:22.020Z 18.9581666666667 -67.1853333333333 14.87 3.28 md
2023-03-21T03:54:40.590Z 9.5926 -83.9584 30.739 3.8 ml
2023-03-21T01:45:20.655Z 23.6174 121.3559 9.233 5.2 mww
2023-03-21T01:44:13.767Z 9.3626 -84.1266 35 5.5 mww
2023-03-21T01:42:23.722Z -24.3346 -69.7994 75.824 4.3 mb
2023-03-21T01:24:51.242Z -18.2046 -71.282 37.996 4.1 mb
2023-03-21T00:34:36.151Z 44.4813 -115.2419 14.832 2.6 ml
2023-03-21T00:20:13.895Z 38.9742 21.1394 10 4.5 mwr
2023-03-21T00:13:32.666Z -23.7554 -179.8801 482.989 4.3 mb
2023-03-20T23:25:28.964Z 53.8329 -169.7303 211.541 4.9 mb
2023-03-20T23:12:06.182Z -30.531 -177.3434 17.576 4.8 mb
2023-03-20T22:54:26.690Z 38.7376666666667 -82.4288333333333 5.54 2.5 md
2023-03-20T22:38:31.200Z 64.8511 -147.3769 23.6 2.5 ml
2023-03-20T22:16:11.410Z 17.949 -66.9525 6.53 2.7 md
2023-03-20T22:15:01.337Z 51.8715 -178.0579 4.8 2.5 ml
2023-03-20T21:47:58.076Z 51.8544 -178.0708 2.096 2.8 ml
2023-03-20T21:28:39.237Z 42.3047 142.9109 85.521 4.4 mb
2023-03-20T21:13:27.687Z 7.3424 123.802 592.471 4.5 mb
2023-03-20T20:02:25.151Z -6.163 147.5568 76.091 4.5 mb
2023-03-20T19:01:04.074Z -16.0612 -74.2718 35 4.6 mb
2023-03-20T18:56:10.007Z -5.4261 146.956 211.389 4.3 mb
2023-03-20T17:18:41.532Z 51.8177 -178.1665 8.294 2.6 ml
2023-03-20T16:26:33.410Z 19.1815 -155.509166666667 35.8 2.97 ml
2023-03-20T16:09:39.810Z 37.2863333 -121.6566667 6.45 2.97 md
